Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
"Dalbec, Bobby",NYY,115.6,31,95.8,453,4
"VÃ¡zquez, Christian",TB,102.9,39,95.8,383,4
"Robert, Luis",KC,112.3,30,95.8,452,4
"Sandoval, Pablo",WSH,104.8,27,95.8,413,4
"Wade Jr., LaMonte",LAD,107,32,95.8,413,4
"Castro, Harold",CWS,99.2,26,95.8,373,4
"Schwarber, Kyle",MIA,115.4,32,95.8,454,4
"HernÃ¡ndez, Teoscar",ATL,104.4,27,95.8,404,4
"Taylor, Chris",COL,103.7,46,95.8,373,4
"Belt, Brandon",MIL,103.8,33,95.8,405,4
"Betts, Mookie",MIL,103.5,31,95.8,406,4
"Verdugo, Alex",CWS,104.5,24,95.8,417,4
"Evans, Phillip",CHC,101.9,25,95.8,415,4
"Correa, Carlos",LAA,108.6,19,95.8,384,4
"Conforto, Michael",CIN,107.7,25,95.8,419,4
"Freeman, Freddie",PHI,105.2,29,95.8,409,4
"Rosario, Eddie",BAL,104.6,34,95.8,423,4
"Brown, Seth",HOU,106.1,29,95.8,424,4
"Bradley, Bobby",CWS,109.3,23,95.8,407,4
"Trevino, Jose",OAK,101.6,28,95.8,420,4
"Belt, Brandon",LAD,106.9,26,95.7,420,4
"Galvis, Freddy",MIA,99.9,38,95.7,381,4
"Soler, Jorge",TEX,113.4,25,95.7,435,4
"Meadows, Austin",NYY,99.1,30,95.7,373,Sinker
"White, Eli",TOR,101.4,26,95.7,403,4
"Chang, Yu",DET,105.2,23,95.7,407,4
"SÃ¡nchez, JesÃºs",WSH,106.8,24,95.7,401,Sinker
"Zunino, Mike",BOS,106.6,35,95.7,405,4
"Machado, Manny",LAD,105.9,35,95.7,391,4
"SuÃ¡rez, Eugenio",CWS,106.9,31,95.7,416,4
"Merrifield, Whit",BOS,93.7,33,95.7,343,4
"Meadows, Austin",BAL,105.4,43,95.7,364,Sinker
"Seager, Kyle",BAL,111,21,95.7,383,4
"Hoskins, Rhys",COL,110.1,25,95.7,435,4
"Semien, Marcus",OAK,105.1,26,95.7,386,4
"Abreu, JosÃ©",NYY,108.4,28,95.7,450,4
"Escobar, Eduardo",CHC,108.6,21,95.7,432,4
"Judge, Aaron",CWS,114.3,17,95.7,421,4
"Smith, Pavin",WSH,100.1,32,95.7,400,4
